timestamp,rain_accum,rain_incr,stage,combined_incr,combined_accum,BoulderOEM_incr,NWSBoulder_incr,BoulderOEM_accum,NWSBoulder_accum,,,,,
2013-09-15 17:00,13.77,0,4.8,5256,5256,0,0,3325,1931,,,,,
2013-09-15 18:00,13.77,0,4.74,5298,5298,42,0,3367,1931,,,,,
2013-09-15 19:00,13.89,0.119,4.8,5305,5305,0,7,3367,1938,,,,,
2013-09-15 20:00,13.89,0,4.8,5330,5330,25,0,3392,1938,,,,,
2013-09-15 21:00,13.89,0,4.74,5330,5330,0,0,3392,1938,,,,,
2013-09-15 22:00,14.05,0.159,4.79,5351,5351,13,8,3405,1946,,,,,
2013-09-15 23:00,14.05,0,4.82,5401,5401,13,37,3418,1983,,,,,
2013-09-16 00:00,14.13,0.079,4.89,5423,5423,22,0,3440,1983,,,,,
2013-09-16 01:00,14.13,0,4.86,5423,5423,0,0,3440,1983,,,,,
2013-09-16 02:00,14.17,0.039,4.82,5423,5423,0,0,3440,1983,,,,,
2013-09-16 03:00,14.21,0.039,4.89,5423,5423,0,0,3440,1983,,,,,
2013-09-16 04:00,14.21,0,4.86,5423,5423,0,0,3440,1983,,,,,
2013-09-16 05:00,14.21,0,4.86,5423,5423,0,0,3440,1983,,,,,
2013-09-16 06:00,14.21,0,4.82,5423,5423,0,0,3440,1983,,,,,
2013-09-16 07:00,14.21,0,4.78,5423,5423,0,0,3440,1983,,,,,
2013-09-16 08:00,14.21,0,4.74,5423,5423,0,0,3440,1983,,,,,
2013-09-16 09:00,14.21,0,4.76,5437,5437,14,0,3454,1983,,,,,
2013-09-16 10:00,14.21,0,4.76,5450,5450,13,0,3467,1983,,,,,
2013-09-16 11:00,14.21,0,4.8,5486,5486,36,0,3503,1983,,,,,
2013-09-16 12:00,14.21,0,4.75,5486,5486,0,0,3503,1983,,,,,
2013-09-16 13:00,14.25,0.039,4.78,5486,5486,0,0,3503,1983,,,,,
2013-09-16 14:00,14.25,0,4.74,5501,5501,0,15,3503,1998,,,,,
2013-09-16 15:00,14.25,0,4.74,5506,5506,5,0,3508,1998,,,,,
2013-09-16 16:00,14.25,0,4.73,5506,5506,0,0,3508,1998,,,,,
2013-09-16 17:00,14.25,0,4.68,5513,5513,7,0,3515,1998,,,,,
2013-09-16 18:00,14.25,0,4.6,5516,5516,0,3,3515,2001,,,,,
2013-09-16 19:00,14.25,0,4.62,5516,5516,0,0,3515,2001,,,,,
2013-09-16 20:00,14.25,0,4.62,5523,5523,7,0,3522,2001,,,,,
2013-09-16 21:00,14.25,0,4.64,5525,5525,2,0,3524,2001,,,,,
2013-09-16 22:00,14.25,0,4.65,5525,5525,0,0,3524,2001,,,,,
2013-09-16 23:00,14.25,0,4.6,5546,5546,21,0,3545,2001,,,,,
2013-09-17 00:00,14.25,0,4.58,5546,5546,0,0,3545,2001,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
