"timeslice","mycount"
"2013-09-06 11:15:00",5
"2013-09-06 11:30:00",1
"2013-09-06 11:45:00",8
"2013-09-06 12:00:00",5
"2013-09-06 12:15:00",7
"2013-09-06 12:30:00",9
"2013-09-06 12:45:00",6
"2013-09-06 13:00:00",6
"2013-09-06 13:15:00",12
"2013-09-06 13:30:00",11
"2013-09-06 13:45:00",11
"2013-09-06 14:00:00",18
"2013-09-06 14:15:00",7
"2013-09-06 14:30:00",10
"2013-09-06 14:45:00",16
"2013-09-06 15:00:00",11
"2013-09-06 15:15:00",11
"2013-09-06 15:30:00",12
"2013-09-06 15:45:00",11
"2013-09-06 16:00:00",13
"2013-09-06 16:15:00",7
"2013-09-06 16:30:00",15
"2013-09-06 16:45:00",13
"2013-09-06 17:00:00",13
"2013-09-06 17:15:00",14
"2013-09-06 17:30:00",10
"2013-09-06 17:45:00",17
"2013-09-06 18:00:00",4
"2013-09-06 18:15:00",11
"2013-09-06 18:30:00",11
"2013-09-06 18:45:00",12
"2013-09-06 19:00:00",11
"2013-09-06 19:15:00",10
"2013-09-06 19:30:00",9
"2013-09-06 19:45:00",17
"2013-09-06 20:00:00",16
"2013-09-06 20:15:00",42
"2013-09-06 20:30:00",24
"2013-09-06 20:45:00",21
"2013-09-06 21:00:00",27
"2013-09-06 21:15:00",22
"2013-09-06 21:30:00",21
"2013-09-06 21:45:00",18
"2013-09-06 22:00:00",29
"2013-09-06 22:15:00",19
"2013-09-06 22:30:00",10
"2013-09-06 22:45:00",16
"2013-09-06 23:00:00",23
"2013-09-06 23:15:00",22
"2013-09-06 23:30:00",23
"2013-09-06 23:45:00",23
"2013-09-07 00:00:00",23
"2013-09-07 00:15:00",17
"2013-09-07 00:30:00",12
"2013-09-07 00:45:00",16
"2013-09-07 01:00:00",14
"2013-09-07 01:15:00",16
"2013-09-07 01:30:00",13
"2013-09-07 01:45:00",5
"2013-09-07 02:00:00",11
"2013-09-07 02:15:00",9
"2013-09-07 02:30:00",10
"2013-09-07 02:45:00",13
"2013-09-07 03:00:00",9
"2013-09-07 03:15:00",16
"2013-09-07 03:30:00",13
"2013-09-07 03:45:00",9
"2013-09-07 04:00:00",8
"2013-09-07 04:15:00",9
"2013-09-07 04:30:00",14
"2013-09-07 04:45:00",13
"2013-09-07 05:00:00",5
"2013-09-07 05:15:00",6
"2013-09-07 05:30:00",8
"2013-09-07 05:45:00",12
"2013-09-07 06:00:00",6
"2013-09-07 06:15:00",3
"2013-09-07 06:30:00",10
"2013-09-07 06:45:00",1
"2013-09-07 07:00:00",6
"2013-09-07 07:15:00",1
"2013-09-07 07:30:00",2
"2013-09-07 07:45:00",3
"2013-09-07 08:00:00",3
"2013-09-07 08:15:00",1
"2013-09-07 08:45:00",1
"2013-09-07 09:00:00",2
"2013-09-07 09:30:00",4
"2013-09-07 09:45:00",3
"2013-09-07 10:00:00",1
"2013-09-07 10:15:00",4
"2013-09-07 10:30:00",2
"2013-09-07 10:45:00",5
"2013-09-07 11:00:00",3
"2013-09-07 11:15:00",11
"2013-09-07 11:30:00",6
"2013-09-07 11:45:00",8
"2013-09-07 12:00:00",4
"2013-09-07 12:15:00",3
"2013-09-07 12:30:00",8
"2013-09-07 12:45:00",2
"2013-09-07 13:00:00",11
"2013-09-07 13:15:00",4
"2013-09-07 13:30:00",12
"2013-09-07 13:45:00",5
"2013-09-07 14:00:00",6
"2013-09-07 14:15:00",5
"2013-09-07 14:30:00",9
"2013-09-07 14:45:00",9
"2013-09-07 15:00:00",9
"2013-09-07 15:15:00",12
"2013-09-07 15:30:00",11
"2013-09-07 15:45:00",16
"2013-09-07 16:00:00",12
"2013-09-07 16:15:00",9
"2013-09-07 16:30:00",11
"2013-09-07 16:45:00",17
"2013-09-07 17:00:00",15
"2013-09-07 17:15:00",9
"2013-09-07 17:30:00",15
"2013-09-07 17:45:00",15
"2013-09-07 18:00:00",21
"2013-09-07 18:15:00",15
"2013-09-07 18:30:00",12
"2013-09-07 18:45:00",7
"2013-09-07 19:00:00",14
"2013-09-07 19:15:00",11
"2013-09-07 19:30:00",13
"2013-09-07 19:45:00",10
"2013-09-07 20:00:00",7
"2013-09-07 20:15:00",6
"2013-09-07 20:30:00",14
"2013-09-07 20:45:00",9
"2013-09-07 21:00:00",13
"2013-09-07 21:15:00",19
"2013-09-07 21:30:00",20
"2013-09-07 21:45:00",8
"2013-09-07 22:00:00",18
"2013-09-07 22:15:00",17
"2013-09-07 22:30:00",13
"2013-09-07 22:45:00",12
"2013-09-07 23:00:00",9
"2013-09-07 23:15:00",15
"2013-09-07 23:30:00",15
"2013-09-07 23:45:00",25
"2013-09-08 00:00:00",25
"2013-09-08 00:15:00",15
"2013-09-08 00:30:00",7
"2013-09-08 00:45:00",18
"2013-09-08 01:00:00",8
"2013-09-08 01:15:00",15
"2013-09-08 01:30:00",8
"2013-09-08 01:45:00",13
"2013-09-08 02:00:00",12
"2013-09-08 02:15:00",6
"2013-09-08 02:30:00",10
"2013-09-08 02:45:00",6
"2013-09-08 03:00:00",11
"2013-09-08 03:15:00",8
"2013-09-08 03:30:00",6
"2013-09-08 03:45:00",12
"2013-09-08 04:00:00",10
"2013-09-08 04:15:00",7
"2013-09-08 04:30:00",6
"2013-09-08 04:45:00",9
"2013-09-08 05:00:00",7
"2013-09-08 05:15:00",12
"2013-09-08 05:30:00",19
"2013-09-08 05:45:00",8
"2013-09-08 06:00:00",3
"2013-09-08 06:15:00",6
"2013-09-08 06:30:00",8
"2013-09-08 06:45:00",5
"2013-09-08 07:00:00",5
"2013-09-08 07:15:00",3
"2013-09-08 07:30:00",2
"2013-09-08 07:45:00",1
"2013-09-08 08:00:00",4
"2013-09-08 08:15:00",3
"2013-09-08 08:30:00",4
"2013-09-08 08:45:00",2
"2013-09-08 09:00:00",3
"2013-09-08 09:15:00",4
"2013-09-08 09:30:00",4
"2013-09-08 09:45:00",5
"2013-09-08 10:00:00",3
"2013-09-08 10:15:00",4
"2013-09-08 10:30:00",5
"2013-09-08 10:45:00",1
"2013-09-08 11:00:00",4
"2013-09-08 11:15:00",10
"2013-09-08 11:30:00",1
"2013-09-08 11:45:00",4
"2013-09-08 12:00:00",2
"2013-09-08 12:15:00",4
"2013-09-08 12:30:00",7
"2013-09-08 12:45:00",7
"2013-09-08 13:00:00",6
"2013-09-08 13:15:00",10
"2013-09-08 13:30:00",7
"2013-09-08 13:45:00",5
"2013-09-08 14:00:00",9
"2013-09-08 14:15:00",8
"2013-09-08 14:30:00",13
"2013-09-08 14:45:00",8
"2013-09-08 15:00:00",12
"2013-09-08 15:15:00",18
"2013-09-08 15:30:00",9
"2013-09-08 15:45:00",9
"2013-09-08 16:00:00",12
"2013-09-08 16:15:00",14
"2013-09-08 16:30:00",11
"2013-09-08 16:45:00",7
"2013-09-08 17:00:00",7
"2013-09-08 17:15:00",8
"2013-09-08 17:30:00",6
"2013-09-08 17:45:00",15
"2013-09-08 18:00:00",14
"2013-09-08 18:15:00",35
"2013-09-08 18:30:00",9
"2013-09-08 18:45:00",13
"2013-09-08 19:00:00",12
"2013-09-08 19:15:00",10
"2013-09-08 19:30:00",15
"2013-09-08 19:45:00",13
"2013-09-08 20:00:00",10
"2013-09-08 20:15:00",10
"2013-09-08 20:30:00",14
"2013-09-08 20:45:00",15
"2013-09-08 21:00:00",7
"2013-09-08 21:15:00",15
"2013-09-08 21:30:00",9
"2013-09-08 21:45:00",18
"2013-09-08 22:00:00",16
"2013-09-08 22:15:00",19
"2013-09-08 22:30:00",29
"2013-09-08 22:45:00",18
"2013-09-08 23:00:00",20
"2013-09-08 23:15:00",27
"2013-09-08 23:30:00",20
"2013-09-08 23:45:00",27
"2013-09-09 00:00:00",33
"2013-09-09 00:15:00",24
"2013-09-09 00:30:00",22
"2013-09-09 00:45:00",32
"2013-09-09 01:00:00",19
"2013-09-09 01:15:00",18
"2013-09-09 01:30:00",14
"2013-09-09 01:45:00",19
"2013-09-09 02:00:00",11
"2013-09-09 02:15:00",13
"2013-09-09 02:30:00",18
"2013-09-09 02:45:00",5
"2013-09-09 03:00:00",14
"2013-09-09 03:15:00",18
"2013-09-09 03:30:00",18
"2013-09-09 03:45:00",19
"2013-09-09 04:00:00",9
"2013-09-09 04:15:00",17
"2013-09-09 04:30:00",16
"2013-09-09 04:45:00",20
"2013-09-09 05:00:00",14
"2013-09-09 05:15:00",10
"2013-09-09 05:30:00",10
"2013-09-09 05:45:00",14
"2013-09-09 06:00:00",10
"2013-09-09 06:15:00",7
"2013-09-09 06:30:00",6
"2013-09-09 06:45:00",7
"2013-09-09 07:00:00",4
"2013-09-09 07:15:00",5
"2013-09-09 07:30:00",4
"2013-09-09 07:45:00",4
"2013-09-09 08:00:00",2
"2013-09-09 08:15:00",8
"2013-09-09 08:30:00",8
"2013-09-09 08:45:00",2
"2013-09-09 09:00:00",3
