posted_at,followers_count
"2013-09-22 22:51:39",7349
"2013-09-22 23:14:04",7348
"2013-09-23 00:00:03",7349
"2013-09-23 15:02:03",7353
"2013-09-23 15:20:06",7354
"2013-09-23 18:11:07",7356
"2013-09-23 18:38:48",7355
"2013-09-23 21:00:44",7356
"2013-09-23 21:01:36",7356
"2013-09-23 21:39:34",7356
"2013-09-23 22:39:10",7356
"2013-09-24 15:07:46",7353
"2013-09-24 16:20:21",7355
"2013-09-24 16:52:52",7355
"2013-09-24 19:01:34",7356
"2013-09-25 15:40:34",7351
"2013-09-25 15:51:40",7349
"2013-09-25 16:03:29",7349
"2013-09-25 18:14:11",7348
"2013-09-25 18:26:20",7346
"2013-09-30 19:01:58",7358
"2013-09-30 21:08:54",7360
"2013-09-30 21:33:20",7360
"2013-10-01 03:20:22",7356
"2013-10-03 01:22:19",7355
"2013-10-03 17:48:43",7354
"2013-10-04 18:29:22",7361
"2013-10-06 17:59:59",7369
"2013-10-06 18:41:22",7368
"2013-10-07 14:56:00",7370
"2013-10-07 15:46:11",7370
"2013-10-08 19:06:29",7374
"2013-10-10 22:25:10",7380
"2013-10-10 22:46:35",7379
"2013-10-14 21:08:53",7393
"2013-10-18 21:41:41",7405
"2013-10-21 21:36:20",7404
"2013-10-23 22:15:58",7411
