"timeslice","mycount"
"2013-09-17 05:45:00",3
"2013-09-17 06:15:00",4
"2013-09-17 06:30:00",1
"2013-09-17 07:15:00",3
"2013-09-17 07:30:00",1
"2013-09-17 11:30:00",1
"2013-09-17 12:00:00",1
"2013-09-17 12:15:00",1
"2013-09-17 12:30:00",3
"2013-09-17 12:45:00",2
"2013-09-17 13:15:00",1
"2013-09-17 13:45:00",1
"2013-09-17 14:00:00",4
"2013-09-17 14:15:00",3
"2013-09-17 14:45:00",3
"2013-09-17 15:00:00",2
"2013-09-17 15:15:00",1
"2013-09-17 15:30:00",7
"2013-09-17 15:45:00",2
"2013-09-17 16:00:00",3
"2013-09-17 16:15:00",10
"2013-09-17 16:45:00",7
"2013-09-17 17:00:00",8
"2013-09-17 17:15:00",15
"2013-09-17 17:30:00",14
"2013-09-17 17:45:00",2
"2013-09-17 18:00:00",6
"2013-09-17 18:15:00",2
"2013-09-17 18:30:00",5
"2013-09-17 18:45:00",2
"2013-09-17 19:15:00",8
"2013-09-17 19:30:00",8
"2013-09-17 19:45:00",2
"2013-09-17 20:00:00",8
"2013-09-17 20:15:00",12
"2013-09-17 20:30:00",13
"2013-09-17 20:45:00",9
"2013-09-17 21:00:00",6
"2013-09-17 21:15:00",5
"2013-09-17 21:30:00",6
"2013-09-17 21:45:00",10
"2013-09-17 22:00:00",2
"2013-09-17 22:15:00",1
"2013-09-17 22:30:00",5
"2013-09-17 22:45:00",6
"2013-09-17 23:00:00",12
"2013-09-17 23:15:00",11
"2013-09-17 23:30:00",9
"2013-09-17 23:45:00",7
"2013-09-18 00:00:00",10
"2013-09-18 00:15:00",26
"2013-09-18 00:30:00",2
"2013-09-18 00:45:00",9
"2013-09-18 01:00:00",9
"2013-09-18 01:15:00",5
"2013-09-18 01:30:00",5
"2013-09-18 01:45:00",7
"2013-09-18 02:00:00",2
"2013-09-18 02:15:00",2
"2013-09-18 02:30:00",6
"2013-09-18 02:45:00",4
"2013-09-18 03:00:00",3
"2013-09-18 03:15:00",3
"2013-09-18 03:30:00",5
"2013-09-18 03:45:00",1
"2013-09-18 04:00:00",2
"2013-09-18 04:15:00",3
"2013-09-18 04:30:00",4
"2013-09-18 04:45:00",3
"2013-09-18 05:00:00",3
"2013-09-18 05:15:00",6
"2013-09-18 05:30:00",3
"2013-09-18 05:45:00",1
"2013-09-18 06:00:00",9
"2013-09-18 06:15:00",2
"2013-09-18 09:30:00",1
"2013-09-18 09:45:00",2
"2013-09-18 10:15:00",2
"2013-09-18 10:30:00",2
"2013-09-18 10:45:00",1
"2013-09-18 11:45:00",1
"2013-09-18 12:00:00",2
